id_docente,sede,unidad_academica,tipo_vinculacion,jornada,nivel_aprobado_corte,cursos_realizados_corte,cursos_aprobados_corte,cursos_reprobados_corte,tasa_aprobacion_corte,dias_desde_ultima_actividad,dias_desde_ultimo_avance,actividades_ultimos_90_dias,target_progreso_6m,prediccion_progreso_6m,probabilidad_progreso_6m,riesgo_no_progreso_6m,nombre_docente,carga_asignada,cursos_ultimos_90_dias,cursos_ultimos_180_dias,actividades_realizadas_corte,actividades_ultimos_180_dias,promedio_final_score_corte,promedio_dias_entre_actividades,nivel_riesgo,perfil_actividad,inactividad_90d,tramo_aprobacion,tramo_cursos_aprobados,tramo_actividad
DOC_000013,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,SIN_NIVEL,7,3,4,42.86,277,486,0,0,0,0.00022633385217127292,0.9997736661478288,Docente Sintético 000013,1,0,0,7,0,81.2,8.333333333333334,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,0–3,0
DOC_000014,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,SIN_NIVEL,7,6,1,85.71,312,486,0,0,0,0.00026399863559876816,0.9997360013644012,Docente Sintético 000014,1,0,0,7,0,86.91,2.833333333333333,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,4–6,0
DOC_000015,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,SIN_NIVEL,5,4,1,80.0,446,486,0,0,0,0.00026399863559876816,0.9997360013644012,Docente Sintético 000015,1,0,0,5,0,84.48,8.25,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,4–6,0
DOC_000016,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,SIN_NIVEL,2,2,0,100.0,115,333,0,0,0,0.0027518216726135,0.9972481783273864,Docente Sintético 000016,1,0,2,2,2,93.6,5.0,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,0–3,0
DOC_000017,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,AVANZADO,18,18,0,100.0,0,214,4,0,0,0.2348365605443823,0.7651634394556177,Docente Sintético 000017,1,1,1,48,4,80.07,17.70212765957447,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,3–5
DOC_000018,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,AVANZADO,20,20,0,100.0,3,149,11,1,1,0.8386451896187085,0.1613548103812915,Docente Sintético 000018,1,3,5,57,18,81.65,12.321428571428571,BAJO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,6+
DOC_000019,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,SIN_NIVEL,6,4,2,66.67,88,333,1,0,0,0.0071723263657875,0.9928276736342124,Docente Sintético 000019,1,1,6,6,6,84.25,5.8,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,4–6,1–2
DOC_000020,SANTIAGO,ADMINISTRACIÓN PÚBLICA,ADJUNTO,POR HORAS,INICIAL,14,14,0,100.0,364,561,0,0,0,0.0045251124925747,0.9954748875074252,Docente Sintético 000020,1,0,0,32,0,83.01,15.483870967741936,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000021,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,AVANZADO,21,19,2,90.48,164,334,0,0,0,0.0011281430733762,0.9988718569266236,Docente Sintético 000021,5,0,1,60,3,81.56,8.983050847457626,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000022,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,SIN_NIVEL,6,6,0,100.0,4,852,5,1,1,0.6538481441477635,0.3461518558522365,Docente Sintético 000022,5,5,6,6,6,89.7,19.8,MEDIO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,4–6,3–5
DOC_000023,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,HABILITANTE,9,8,1,88.89,732,823,0,0,0,0.00016143453303466563,0.9998385654669654,Docente Sintético 000023,5,0,0,12,0,84.77,10.545454545454543,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,7–9,0
DOC_000024,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,SIN_NIVEL,1,0,1,0.0,120,121,0,0,0,0.00028533090231876564,0.9997146690976813,Docente Sintético 000024,5,0,1,1,1,70.7,,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,≤50%,0–3,0
DOC_000025,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,SIN_NIVEL,1,1,0,100.0,472,486,0,0,0,0.0011882451930523,0.9988117548069476,Docente Sintético 000025,5,0,0,1,0,87.6,,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,0–3,0
DOC_000026,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,HABILITANTE,10,8,2,80.0,2,169,7,0,0,0.0296984524984603,0.9703015475015396,Docente Sintético 000026,5,2,3,16,9,83.58,20.933333333333334,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,7–9,6+
DOC_000027,SANTIAGO,ARQUITECTURA,REGULAR,CONTRATADO,AVANZADO,17,17,0,100.0,58,58,4,0,0,0.0520779475250701,0.9479220524749298,Docente Sintético 000027,5,1,4,44,14,82.6,14.744186046511627,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,3–5
DOC_000028,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,SIN_NIVEL,0,0,0,0.0,333,333,0,0,0,0.0002888088803213583,0.9997111911196788,Docente Sintético 000028,2,0,0,0,0,,,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,≤50%,0–3,0
DOC_000029,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,HABILITANTE,8,8,0,100.0,1,183,2,0,0,0.0403210389590098,0.9596789610409902,Docente Sintético 000029,2,0,0,10,2,91.39,36.77777777777778,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,7–9,1–2
DOC_000030,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,AVANZADO,19,19,0,100.0,3,140,7,1,1,0.5405971333474797,0.4594028666525203,Docente Sintético 000030,1,1,3,55,15,83.81,15.555555555555555,MEDIO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,6+
DOC_000031,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,AVANZADO,20,20,0,100.0,96,240,0,0,0,0.0623328336161316,0.9376671663838684,Docente Sintético 000031,1,0,3,56,10,82.24,13.61818181818182,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000033,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,HABILITANTE,12,11,1,91.67,131,430,0,0,0,0.0027063072893968,0.9972936927106032,Docente Sintético 000033,1,0,2,24,5,85.58,15.304347826086955,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000034,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,INICIAL,16,14,2,87.5,93,377,0,0,0,0.0014023933740672,0.9985976066259328,Docente Sintético 000034,1,0,3,40,9,79.6,15.41025641025641,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000035,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,SIN_NIVEL,0,0,0,0.0,121,121,0,0,0,0.0002888088803213583,0.9997111911196788,Docente Sintético 000035,1,0,0,0,0,,,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,≤50%,0–3,0
DOC_000036,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,HABILITANTE,12,11,1,91.67,338,636,0,0,0,0.00012376974960717034,0.9998762302503929,Docente Sintético 000036,1,0,0,24,0,82.61,15.521739130434783,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000037,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,SIN_NIVEL,3,2,1,66.67,108,121,0,0,0,0.0004068370238248871,0.9995931629761752,Docente Sintético 000037,1,0,3,3,3,80.9,5.0,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,0–3,0
DOC_000038,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,SIN_NIVEL,0,0,0,0.0,333,333,0,0,0,0.0002888088803213583,0.9997111911196788,Docente Sintético 000038,1,0,0,0,0,,,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,≤50%,0–3,0
DOC_000039,SANTIAGO,ARQUITECTURA,ADJUNTO,POR HORAS,AVANZADO,17,17,0,100.0,5,51,6,1,0,0.2603769988148366,0.7396230011851633,Docente Sintético 000039,1,1,3,46,14,83.27,15.177777777777775,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,6+
DOC_000041,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,REGULAR,CONTRATADO,INICIAL,14,14,0,100.0,447,580,0,0,0,0.0161343671691546,0.9838656328308454,Docente Sintético 000041,5,0,0,32,0,81.75,12.67741935483871,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000042,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,REGULAR,CONTRATADO,SIN_NIVEL,6,1,5,16.67,295,486,0,0,0,0.00022633385217127292,0.9997736661478288,Docente Sintético 000042,5,0,0,6,0,79.83,7.4,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,0–3,0
DOC_000043,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,REGULAR,CONTRATADO,HABILITANTE,9,9,0,100.0,366,426,0,0,0,0.0010497660033851,0.9989502339966148,Docente Sintético 000043,5,0,0,12,0,90.87,10.363636363636363,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,7–9,0
DOC_000045,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,REGULAR,CONTRATADO,AVANZADO,17,17,0,100.0,0,151,3,1,1,0.5374662809014451,0.4625337190985549,Docente Sintético 000045,5,0,1,47,7,83.95,14.91304347826087,MEDIO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,3–5
DOC_000046,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,REGULAR,CONTRATADO,SIN_NIVEL,0,0,0,0.0,0,0,0,0,0,0.0003618999272872301,0.9996381000727128,Docente Sintético 000046,5,0,0,0,0,,,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,≤50%,0–3,0
DOC_000047,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,REGULAR,CONTRATADO,HABILITANTE,13,11,2,84.62,582,822,0,0,0,0.00012376974960717034,0.9998762302503929,Docente Sintético 000047,5,0,0,28,0,82.47,9.88888888888889,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000048,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,SIN_NIVEL,0,0,0,0.0,121,121,0,0,0,0.0002888088803213583,0.9997111911196788,Docente Sintético 000048,1,0,0,0,0,,,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,≤50%,0–3,0
DOC_000049,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,HABILITANTE,8,8,0,100.0,2,172,2,0,0,0.0354117603745568,0.9645882396254432,Docente Sintético 000049,1,0,1,10,3,86.78,35.666666666666664,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,7–9,1–2
DOC_000050,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,SIN_NIVEL,3,3,0,100.0,105,486,0,0,0,0.0094764593537729,0.990523540646227,Docente Sintético 000050,1,0,3,3,3,86.67,7.5,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,0–3,0
DOC_000051,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,SIN_NIVEL,4,3,1,75.0,90,486,1,0,0,0.0138785512413018,0.9861214487586982,Docente Sintético 000051,1,1,4,4,4,88.92,8.0,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,0–3,1–2
DOC_000052,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,HABILITANTE,11,10,1,90.91,552,673,0,0,0,0.00016143453303466563,0.9998385654669654,Docente Sintético 000052,1,0,0,20,0,83.97,7.578947368421052,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000053,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,AVANZADO,21,20,1,95.24,64,243,4,0,0,0.0088886656254497,0.9911113343745502,Docente Sintético 000053,1,1,3,60,12,78.52,13.220338983050848,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,3–5
DOC_000054,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,AVANZADO,19,18,1,94.74,6,208,6,0,0,0.0830137165469461,0.9169862834530538,Docente Sintético 000054,1,2,2,53,9,82.88,15.865384615384617,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,6+
DOC_000055,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,AVANZADO,17,17,0,100.0,1,149,2,0,1,0.5515603465355722,0.4484396534644278,Docente Sintético 000055,1,0,1,46,6,83.39,18.77777777777778,MEDIO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,1–2
DOC_000056,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,INICIAL,15,14,1,93.33,412,491,0,0,0,0.0009318049407983354,0.9990681950592016,Docente Sintético 000056,1,0,0,36,0,79.91,8.114285714285714,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000057,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,AVANZADO,19,18,1,94.74,231,355,0,0,0,0.0005529492431805074,0.9994470507568196,Docente Sintético 000057,1,0,0,52,0,80.24,9.07843137254902,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000059,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,SIN_NIVEL,2,1,1,50.0,478,486,0,0,0,0.00026399863559876816,0.9997360013644012,Docente Sintético 000059,1,0,0,2,0,85.15,4.0,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,0–3,0
DOC_000060,SANTIAGO,AUDITORÍA E INGENIERÍA EN CONTROL DE GESTIÓN,ADJUNTO,POR HORAS,HABILITANTE,9,8,1,88.89,636,672,0,0,0,0.00016143453303466563,0.9998385654669654,Docente Sintético 000060,1,0,0,12,0,87.31,5.454545454545454,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,7–9,0
DOC_000061,SANTIAGO,DEPARTAMENTO DE ANÁLISIS DE DATOS,REGULAR,CONTRATADO,SIN_NIVEL,6,5,1,83.33,18,121,5,0,0,0.0268560484061835,0.9731439515938164,Docente Sintético 000061,5,5,6,6,6,88.42,17.0,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,4–6,3–5
DOC_000062,SANTIAGO,DEPARTAMENTO DE ANÁLISIS DE DATOS,ADJUNTO,POR HORAS,INICIAL,13,13,0,100.0,96,96,0,0,0,0.0363460016495337,0.9636539983504664,Docente Sintético 000062,2,0,3,28,9,83.44,14.074074074074074,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000063,SANTIAGO,DEPARTAMENTO DE ANÁLISIS DE DATOS,ADJUNTO,POR HORAS,AVANZADO,17,17,0,100.0,4,111,2,1,1,0.5321264368979479,0.4678735631020521,Docente Sintético 000063,1,0,2,46,8,81.7,18.711111111111112,MEDIO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,1–2
DOC_000064,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,SIN_NIVEL,0,0,0,0.0,0,0,0,0,0,0.0003618999272872301,0.9996381000727128,Docente Sintético 000064,6,0,0,0,0,,,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,≤50%,0–3,0
DOC_000065,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO,19,19,0,100.0,5,206,8,1,1,0.7164115715532534,0.2835884284467466,Docente Sintético 000065,6,2,2,55,11,82.07,15.48148148148148,BAJO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,6+
DOC_000066,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO,17,17,0,100.0,5,141,2,0,0,0.3492381251158817,0.6507618748841183,Docente Sintético 000066,6,0,1,46,6,84.62,15.28888888888889,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,1–2
DOC_000067,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,SIN_NIVEL,0,0,0,0.0,121,121,0,0,0,0.0002888088803213583,0.9997111911196788,Docente Sintético 000067,6,0,0,0,0,,,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,≤50%,0–3,0
DOC_000068,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO,20,19,1,95.0,18,242,9,0,0,0.056583864647654,0.943416135352346,Docente Sintético 000068,6,3,3,56,12,79.44,15.163636363636364,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,6+
DOC_000070,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,INICIAL,16,15,1,93.75,483,584,0,0,0,0.001134036359794,0.998865963640206,Docente Sintético 000070,6,0,0,40,0,81.39,9.333333333333334,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000071,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,SIN_NIVEL,8,5,3,62.5,280,333,0,0,0,0.00026399863559876816,0.9997360013644012,Docente Sintético 000071,6,0,0,8,0,84.22,7.285714285714286,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,4–6,0
DOC_000072,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,HABILITANTE,13,12,1,92.31,583,828,0,0,0,0.00016143453303466563,0.9998385654669654,Docente Sintético 000072,6,0,0,28,0,83.9,9.88888888888889,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000073,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,INICIAL,13,13,0,100.0,105,105,0,0,0,0.0165185795868285,0.9834814204131714,Docente Sintético 000073,5,0,2,28,7,83.17,14.0,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000074,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO,20,20,0,100.0,105,260,0,0,0,0.0207732496558473,0.9792267503441526,Docente Sintético 000074,5,0,2,56,8,80.9,10.763636363636364,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000075,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,HABILITANTE,11,11,0,100.0,171,357,0,0,0,0.0126894148180458,0.987310585181954,Docente Sintético 000075,5,0,1,20,1,85.68,15.578947368421051,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000076,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO,17,17,0,100.0,2,214,1,1,1,0.5413472282679509,0.4586527717320491,Docente Sintético 000076,5,0,0,45,1,82.61,19.068181818181817,MEDIO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,1–2
DOC_000077,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,HABILITANTE,8,8,0,100.0,5,180,2,0,0,0.0466121968515338,0.9533878031484662,Docente Sintético 000077,5,0,1,10,3,91.89,34.44444444444444,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,7–9,1–2
DOC_000078,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO,20,19,1,95.0,197,353,0,0,0,0.0016321098928748,0.9983678901071252,Docente Sintético 000078,5,0,0,56,0,83.26,9.10909090909091,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000079,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,HABILITANTE,12,10,2,83.33,404,635,0,0,0,0.00012376974960717034,0.9998762302503929,Docente Sintético 000079,5,0,0,24,0,82.24,12.565217391304348,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,10+,0
DOC_000080,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,HABILITANTE,10,9,1,90.0,45,275,6,0,0,0.0105711289090746,0.9894288710909254,Docente Sintético 000080,5,2,2,16,8,85.29,18.666666666666668,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,7–9,6+
DOC_000081,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,SIN_NIVEL,0,0,0,0.0,0,0,0,0,0,0.0003618999272872301,0.9996381000727128,Docente Sintético 000081,5,0,0,0,0,,,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,≤50%,0–3,0
DOC_000082,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,AVANZADO,21,20,1,95.24,66,333,3,0,0,0.002533324190321,0.997466675809679,Docente Sintético 000082,5,1,3,60,12,80.46,13.305084745762713,ALTO,CON ACTIVIDAD 90D,CON ACTIVIDAD 90D,,10+,3–5
DOC_000083,SANTIAGO,DEPARTAMENTO DE CIENCIAS BIOLÓGICAS,REGULAR,CONTRATADO,HABILITANTE,12,9,3,75.0,595,788,0,0,0,0.00012376974960717034,0.9998762302503929,Docente Sintético 000083,5,0,0,24,0,79.73,10.956521739130435,ALTO,SIN ACTIVIDAD 90D,SIN ACTIVIDAD 90D,,7–9,0
